time_value,geo_value,smoothed_wspent_time_1d,smoothed_wtested_14d,smoothed_wpublic_transit_1d,smoothed_wworried_become_ill,smoothed_wvaccine_likely_govt_health,smoothed_wshop_1d,smoothed_wtested_positive_14d,smoothed_wwork_outside_home_1d,smoothed_wothers_masked,smoothed_wcli,smoothed_wcovid_vaccinated,smoothed_wvaccine_likely_friends,smoothed_wrestaurant_1d,smoothed_wvaccine_likely_politicians,smoothed_wvaccine_likely_who,smoothed_wwearing_mask,smoothed_wlarge_event_1d
2021-01-07,1000,34.412959,12.5415582,1.4647977,65.7716814,22.0862744,52.8546667,29.2884291,30.4878524,57.3347853,3.2443795,2.6382001,28.4695824,18.5712664,9.4823163,24.9621119,84.3117586,12.6270982
2021-01-07,2000,31.0319297,23.187988,5.2476122,54.3329758,31.8295908,52.9481884,8.8436859,31.2421795,65.7565889,0.4212454,15.9101673,29.2408189,13.1322582,10.0503202,33.1681193,82.0251008,9.2315455
2021-01-07,4000,33.8944711,15.8135254,1.670934,70.4490399,30.6017857,52.2240637,30.3024645,26.6143846,64.2668323,1.4012543,4.7153096,38.0283048,18.4657103,11.3580134,33.4283466,87.5706616,9.2858514
2021-01-07,4013,30.6745318,16.170044,3.1063101,68.9285672,32.1974351,50.9836652,22.7109349,24.4672354,84.3602383,2.0828983,4.0056789,34.4484575,17.5930557,11.6589304,38.4050127,92.8465776,9.3648621
2021-01-07,4019,30.4899392,16.1931509,2.9430758,69.5792008,36.6362815,52.7068158,21.9122766,24.3710773,87.7642905,1.3061396,6.2496587,36.1174705,13.8140717,14.0575772,42.917359,93.671275,6.4183424
2021-01-07,5000,32.7366128,11.8999128,1.998309,65.8608553,21.8153593,50.956848,26.660268,28.378487,64.0680868,2.1778126,6.519826,26.8380555,14.7498422,9.6166285,26.1889346,86.4056556,10.3586735
2021-01-07,6000,29.4206333,10.2266042,1.8924362,68.8102929,28.2189887,53.2766552,19.4168617,24.7927702,78.5500357,1.0553638,4.925455,30.8016864,7.4256107,9.6365539,34.2414264,92.3736692,8.6244123
2021-01-07,6001,22.3517642,14.1144403,3.6537023,75.3069449,42.8761318,47.609747,14.2357028,19.8030687,93.2923454,0.8772313,3.1852345,40.7925867,5.0254145,15.2876366,50.4863006,97.6712907,3.4430921
2021-01-07,6013,22.5301386,13.7220969,2.3583517,72.9901419,39.2568585,48.13852,15.7374512,22.9401682,92.527427,1.1765325,3.7431122,38.0354696,3.4177011,15.778739,46.1896574,97.0569649,2.8253465
2021-01-07,6019,24.4558511,14.4937805,2.4625527,73.0382461,37.0262452,46.5009475,28.6849816,21.6322996,86.223676,1.5602462,3.0593543,39.3667729,5.1818818,16.964338,40.9507448,94.9328975,5.3795166
2021-01-07,6029,24.8629164,16.6186361,3.0180924,68.2301031,32.0736121,49.3568341,42.0371214,22.1138353,81.370961,1.5968067,3.5276318,36.123751,9.5985073,12.2393471,37.1743798,93.0282985,5.8402372
2021-01-07,6037,18.9817091,24.8182253,4.2091628,78.7205471,41.1157429,45.3668506,24.7596672,22.9437291,90.030644,2.2339953,3.912001,41.9118857,3.9854979,17.9852341,47.5342336,96.6484238,2.8876523
2021-01-07,6059,24.2552571,19.4456959,2.4585841,73.0777499,39.9222077,49.0393656,20.839975,25.4543867,87.5519632,1.3987552,3.4616859,39.6037051,7.7789366,16.7527199,46.6144459,96.0001883,4.1717782
2021-01-07,6065,22.75345,18.6098778,1.674395,73.8882072,36.351463,48.557102,25.7621963,21.9411053,88.5106491,1.6332598,1.9001036,38.6561645,6.2475784,14.7824593,43.3631434,96.2057027,5.2856623
2021-01-07,6067,27.9032289,13.2431349,2.1367362,75.8532145,35.4799564,50.0516739,23.1833874,20.0952535,88.0251102,0.8031218,5.648511,34.8733037,5.9471568,13.1040889,41.9442894,96.4222807,3.7766849
2021-01-07,6071,21.8811375,18.8896829,1.6647574,74.1789041,32.3347917,48.4703959,36.7049233,24.6120246,87.9934782,2.9460019,3.0557164,35.8534808,5.4622221,14.5429878,36.8963109,95.2673851,4.5676792
2021-01-07,6073,26.8151516,18.8265837,4.1398951,72.3704955,36.0668966,49.164248,17.006905,24.1043482,85.9704761,1.2038143,2.9148135,34.6897584,8.0095546,14.494677,43.2018158,95.1132038,5.5436551
2021-01-07,6075,19.7674587,19.0799375,11.4101361,73.169534,44.887076,46.8376592,2.7427348,14.8699084,96.594212,0.1519462,3.5060684,35.1683348,3.4961948,15.3077599,51.9545063,98.80053,1.3711911
2021-01-07,6081,19.6938879,21.65123,2.6581364,73.794046,44.6605974,45.0685511,11.8247372,18.694098,94.4273448,0.2551891,2.0256387,39.906935,4.759558,16.4352176,51.8243937,98.2155477,3.3359193
2021-01-07,6085,18.9830808,19.163155,2.2978154,73.8500343,44.8385778,45.0229819,13.1460796,19.6246777,93.0642247,0.53841,3.6884773,42.0931251,4.5865595,15.1829637,49.6025022,97.9928242,2.5977573
2021-01-07,6097,22.7407988,18.1488095,1.8525229,69.9713998,41.3341641,47.4904785,14.2959414,19.3665471,91.404112,1.2667305,3.8088336,38.7405986,1.637456,17.0517357,49.9383242,97.0517459,2.6754904
2021-01-07,6111,21.2393484,22.5108858,1.2033551,79.0098873,41.487401,48.6567414,21.2258078,25.4036801,90.7769288,1.8947205,3.1553614,36.4124569,3.8588985,16.0474103,46.9749133,94.4729209,3.8057534
2021-01-07,8000,28.7596612,12.2793551,3.7248767,65.0925731,31.0325016,52.1284322,12.2484136,26.9968632,71.9467752,1.0678568,5.2629816,30.7500033,14.4976325,9.3746813,39.4781274,88.5159352,7.7375232
2021-01-07,9000,29.540826334495225,15.685206023820573,3.955646323883294,70.51221953633103,32.974394751934405,52.650527592615546,9.9206308,31.864066317221795,82.04640820843807,1.0612848140450895,4.9726965,35.650618180655904,13.280292648257165,11.17653338373463,37.84799132411674,92.47564581661965,7.279319406687321
2021-01-07,9001,24.5938161,19.2519581,3.0171693,72.5825347,40.8871269,44.1629153,11.8120651,21.4804013,95.2310678,0.86923,5.3947682,37.2822732,8.8081291,15.7069439,45.5724782,97.7435396,4.5333258
2021-01-07,9003,26.8808954,17.9357259,1.6722919,73.7738512,35.1244617,49.5623008,16.0355067,23.7301385,93.7362891,0.7565286,6.1019509,34.2649858,8.094271,12.7877191,42.2427504,96.6488261,4.8542592
2021-01-07,9009,27.2564451,19.8744048,2.985174,72.9426507,35.452861,50.1575304,16.173332,25.2215346,91.3239747,0.9616872,5.5831724,34.0405929,10.010441,14.018657,41.9313635,94.0859484,6.0624498
2021-01-07,10000,29.540826334495225,15.685206023820573,3.955646323883294,70.51221953633103,32.974394751934405,52.650527592615546,14.3675177,31.864066317221795,82.04640820843807,1.0612848140450895,4.3186024,35.650618180655904,13.280292648257165,11.17653338373463,37.84799132411674,92.47564581661965,7.279319406687321
2021-01-07,10003,25.1004751,26.4158083,2.2259472,68.2684948,32.4956181,47.5880955,9.4581559,26.3356918,91.245433,0.3081413,3.7948934,33.6031191,10.1919803,12.3107389,40.6836083,95.3820949,4.9930157
2021-01-07,12000,35.2382952,13.49363,2.2585293,63.8395534,23.0473851,53.4330915,20.3241607,26.9350722,51.5476064,1.8585762,5.4974006,27.1155758,19.745732,9.2767063,26.7146576,78.6239297,12.8720012
2021-01-07,12011,31.6310181,16.3783967,3.9543352,69.7993038,34.8971548,52.998114,15.28745,23.7710163,83.256322,0.9923366,4.4190856,40.061417,17.4218941,13.8946239,42.0202357,94.9059483,6.7863153
2021-01-07,12031,27.9728934,16.6829148,4.5594192,63.2661866,28.628559,51.9143969,30.1376575,28.4842499,73.9739813,1.1336523,5.5208203,31.2019294,16.5720732,11.5022159,34.43131,87.506398,9.8121353
2021-01-07,12057,32.5311082,12.5178539,3.109088,69.5592384,32.1515731,52.7085087,22.034827,27.5758496,78.668466,0.8289423,5.1161586,32.7516029,19.0319104,12.0157424,37.4313897,92.5496058,10.5350743
2021-01-07,12086,26.6356677,23.4835724,5.1236648,79.277639,49.0364921,48.5997787,20.7360649,25.4782876,83.8477644,1.1480431,2.2653346,46.7674757,13.6365145,20.9852756,50.619057,96.2970421,8.4969254
2021-01-07,12095,31.6106008,15.9390263,2.7146774,73.4794936,33.6971621,48.8474627,21.1635323,29.7358303,82.4550586,1.4010361,5.0844336,37.0237665,19.5035817,15.9578453,41.1572138,93.8325052,9.9277464
2021-01-07,12099,29.6836186,13.7367935,2.7010158,76.0016162,40.4687783,56.436349,15.5620467,25.0342988,83.7754632,0.6089341,4.9023101,35.8096014,18.4219138,12.8621544,45.0214589,95.7811951,8.9650426
2021-01-07,12103,32.490078,12.6023908,3.1654909,69.3370688,34.4886873,52.7228371,16.2291429,27.0724675,75.7605449,1.1747523,5.5119389,32.2248191,21.8228252,11.8468922,40.6207832,90.4408959,11.0670116
2021-01-07,13000,30.8536816,14.5133174,2.3723495,64.7012326,23.9289175,51.397702,28.8604655,30.5187881,48.6340187,2.4455521,4.9989126,28.4309318,17.5816117,9.4091619,26.5882411,79.5307022,11.8793792
2021-01-07,15000,29.540826334495225,15.685206023820573,3.955646323883294,70.51221953633103,32.974394751934405,52.650527592615546,4.3932355,31.864066317221795,82.04640820843807,1.0612848140450895,5.7956526,35.650618180655904,13.280292648257165,11.17653338373463,37.84799132411674,92.47564581661965,7.279319406687321
2021-01-07,16000,40.7739982,8.2212801,3.7534457,58.0731684,23.3605852,56.6661391,23.9857039,32.271375,51.2270544,0.9285729,5.9673516,25.0929357,18.8587702,7.4413683,27.8089123,76.1717008,15.5780949
2021-01-07,17000,35.3364193,12.1400153,2.0948635,63.7085469,25.1476898,50.4818325,19.2209078,30.7879582,67.8838359,1.4149169,6.3256831,27.2475842,14.7255935,9.6893448,30.8223579,84.3053072,10.00313
2021-01-07,17031,26.7171646,13.7818917,5.3234994,72.7916382,37.4209061,47.9983126,13.2205949,25.8913409,91.3771357,0.7976068,5.4023671,35.8219958,6.8220887,14.2344717,45.3681092,95.9470908,5.4444591
2021-01-07,18000,36.2792027,10.3865076,1.671445,63.3933674,24.0860662,51.787312,24.1145875,33.2331889,67.2011068,1.2871085,5.2637236,27.4091037,18.6232387,7.6630499,29.5546722,86.365756,11.3756608
2021-01-07,19000,37.7795973,9.6711335,1.7463913,59.6596638,27.8351872,53.6471237,19.9174024,33.4104141,66.8842591,1.10861,7.5285785,29.5467205,19.6902528,9.9208558,32.4349218,81.6993578,13.6344769
2021-01-07,20000,35.5741446,13.0985702,1.6717378,62.9581933,26.7634921,49.3299207,25.1456773,33.1641545,63.7265634,1.5796578,6.0727217,28.320188,18.6921598,7.6044074,29.8512068,84.7064944,11.9279148
2021-01-07,20173,35.5157194,13.2469014,0.6779792,66.2564501,28.8949412,47.4745449,22.0801245,32.4616907,78.8893875,1.2195378,7.0601133,27.4382327,16.1974755,8.510684,34.5201774,89.193872,9.92291
2021-01-07,21000,32.6378712,13.345833,1.7691975,69.0427988,25.8051821,48.5521052,21.94554,27.5860344,70.8505972,1.0875394,7.7514511,28.4671694,14.6624242,9.3847145,29.9114798,88.9263813,8.863545
2021-01-07,21111,31.2928241,15.7765985,2.4855583,71.4489173,32.8089684,49.1271464,14.6002558,26.8645975,89.7212149,0.8261651,5.5930574,33.0590539,13.5265796,11.6722361,39.4389373,95.5328176,7.3085078
2021-01-07,22000,33.0506444,13.4251546,1.286209,63.3373407,22.9047453,49.4703699,32.0436441,28.2321331,54.5317554,1.6392552,4.3661931,29.6480785,15.4686304,11.6873388,25.8652159,81.5294576,11.4627005
2021-01-07,23000,28.7673789,7.7413117,1.194591,67.150808,30.982653,54.0591039,14.0814464,23.3443973,88.365394,0.8895624,6.1083082,27.5801202,10.7627378,9.2901198,35.3849176,91.9447773,4.7116798
2021-01-07,24000,30.494813,12.2105019,1.5601516,71.00148,24.5530534,51.4513028,15.1603817,26.7098481,92.1095786,1.3118909,5.8371163,27.9131456,12.6695517,9.1749362,31.2707138,94.0688007,4.266683
2021-01-07,24031,21.6547047,14.7318839,3.3298295,75.0992019,44.3987157,39.237833,9.5113925,18.7925304,96.3319887,0.42596,4.4734295,35.9090897,5.5122644,12.7629122,48.1048279,97.4070628,2.6591655
2021-01-07,25000,29.540826334495225,15.685206023820573,3.955646323883294,70.51221953633103,32.974394751934405,52.650527592615546,13.6945376,31.864066317221795,82.04640820843807,1.0612848140450895,5.1916347,35.650618180655904,13.280292648257165,11.17653338373463,37.84799132411674,92.47564581661965,7.279319406687321
2021-01-07,25009,24.5428797,20.8007888,2.1551632,73.9324769,34.4711919,47.2951295,8.3333137,24.7160634,96.1184374,0.8697208,6.8585765,33.9767588,10.0529304,11.5169369,38.7796939,96.9008009,4.1682433
2021-01-07,25013,26.1167591,19.1433387,1.9266403,75.103808,33.6561312,47.5996034,13.8556228,25.3082047,94.5483754,0.3847604,4.7780035,32.6893758,8.7085839,14.1551437,38.3100599,96.4961358,3.6763388
2021-01-07,25017,22.6496599,20.604677,2.7814321,74.8955168,40.135263,44.8044038,6.3918895,21.7875295,95.4025825,0.6993639,2.5384028,35.1709096,7.8068792,11.4643627,49.3846461,97.9212418,3.0520122
2021-01-07,25027,27.0403224,17.6289406,2.2220947,72.7559982,34.6027036,48.8239738,17.9636196,27.3868531,94.874972,1.1955032,5.4955195,33.0385693,9.5347148,13.7990334,39.7479603,96.2883087,4.6103538
2021-01-07,26000,34.698908,7.7185684,2.3201755,64.6271517,27.4577931,51.7377949,15.2715046,27.7977449,76.8837037,0.8515077,4.8252258,25.7817671,6.8113082,7.6900699,32.9949247,87.0070318,8.2869726
2021-01-07,26125,31.7342233,9.099806,2.048207,69.5645939,34.3337617,48.4977974,13.9566759,22.6381016,91.818988,0.7782544,4.3208556,30.5936868,5.7615302,11.4774799,40.8554062,94.5606089,5.211135
2021-01-07,26163,28.7106493,12.4183827,2.4910548,68.6714974,28.6343883,47.587496,18.5661089,25.8848114,88.9914103,0.9438871,6.2083014,27.6977972,4.8966156,12.3211106,35.1928459,95.1083397,5.482793
2021-01-07,27000,38.2535071,10.5573335,3.0389741,56.9857174,28.146253,52.4597334,8.886789,33.2957184,77.7960902,0.6620834,6.5223806,31.144332,9.0328165,11.4492529,34.6695718,85.7822536,10.1159004
2021-01-07,28000,34.754773,13.0804156,1.7580907,68.951951,24.0018838,50.7278627,35.4813471,29.6037029,66.2771208,2.5779136,4.4234982,31.0346102,15.312012,12.5879106,27.1927868,86.0613822,11.5636442
2021-01-07,29000,34.7733272,10.1884329,1.4710458,61.0093728,22.0591067,51.6031999,28.4760906,30.4696594,49.6224379,1.4958029,6.0393329,26.2283072,18.8126097,8.1199119,25.7823822,77.471133,12.5857938
2021-01-07,30000,36.6725805,9.4975893,1.9840064,59.2393334,25.8796537,54.4372684,18.0079999,31.1356826,57.7369217,1.689369,8.9424043,25.5632549,20.5003605,8.5702386,30.7731698,82.9262982,10.6177357
2021-01-07,31000,37.7910451,9.115719,1.7404024,60.5669435,26.8750892,49.9726308,21.4889494,38.0593187,62.057315,1.1377848,7.0001944,29.5188214,22.1116594,9.557417,30.8404358,78.3177631,13.8588245
2021-01-07,32003,25.3465258,14.1569501,2.8613774,69.6008119,34.0914794,49.5402079,26.42866,25.2568814,89.8392217,1.828278,5.2398598,34.8920677,14.982912,14.1246018,42.1372323,95.7091185,7.1155511
2021-01-07,33000,23.9615662,12.3677515,0.7818069,65.7920797,34.5326329,51.465002,18.8009598,28.6683849,87.4426388,0.9505839,5.1233123,31.9945072,13.1850425,16.3305772,37.7712695,94.4044974,6.6970519
2021-01-07,34000,25.2088846,14.7934597,1.7263891,68.6963431,32.8226713,52.8317221,18.4752968,25.6165949,88.5287046,0.3101978,3.0012154,36.49961,11.3488186,16.3232066,39.2059745,90.7847877,4.9682111
2021-01-07,34003,26.4337254,19.4766731,4.0505695,76.5703576,37.6925604,48.5204527,12.3057585,23.6318926,92.4375597,0.6473926,8.2384872,37.5066029,10.7456175,15.8713372,43.9145232,95.5179218,4.3963195
2021-01-07,34013,23.4219146,22.5409313,8.7597514,73.8651051,39.667964,44.6197011,11.8143163,26.0371753,94.2555134,1.0210052,4.5786148,37.9614512,6.5326802,16.041283,43.4129862,96.6727996,4.3924042
2021-01-07,34017,22.1533505,25.702931,11.2576051,76.746811,41.0501097,45.4857654,19.4261802,23.64832,92.9262885,0.6592655,3.3627437,43.5122774,10.1583278,18.2143569,48.6114259,97.9810408,2.0802075
2021-01-07,34023,28.2958668,19.5587595,2.231087,75.1101464,35.4386611,44.5477772,13.8064417,20.845091,91.7564262,0.8101477,4.3680847,39.0182432,9.3091055,13.0142056,39.7296253,93.7015191,4.0324963
